iter	Passed	Remaining
0	70	70508
1	71	35482
2	71	23800
3	72	17950
4	72	14457
5	73	12129
6	73	10462
7	74	9208
8	74	8254
9	75	7477
10	76	6835
11	76	6301
12	76	5845
13	77	5460
14	77	5121
15	78	4826
16	78	4567
17	79	4335
18	79	4129
19	80	3941
20	80	3775
21	81	3626
22	82	3488
23	82	3358
24	83	3241
25	83	3134
26	84	3034
27	84	2939
28	85	2852
29	85	2770
30	86	2694
31	86	2625
32	87	2559
33	87	2499
34	88	2439
35	89	2383
36	89	2328
37	89	2276
38	90	2229
39	90	2183
40	91	2139
41	91	2098
42	92	2060
43	93	2024
44	93	1988
45	94	1953
46	94	1920
47	95	1888
48	95	1858
49	96	1828
50	96	1799
51	97	1771
52	97	1745
53	98	1720
54	98	1697
55	99	1675
56	99	1652
57	100	1630
58	100	1608
59	101	1587
60	101	1567
61	102	1547
62	102	1529
63	103	1510
64	103	1492
65	104	1474
66	104	1457
67	105	1442
68	105	1429
69	106	1414
70	106	1399
71	107	1384
72	107	1370
73	108	1356
74	108	1342
75	109	1329
76	110	1319
77	110	1306
78	111	1294
79	111	1284
80	112	1274
81	112	1263
82	113	1249
83	113	1238
84	114	1227
85	114	1217
86	114	1206
87	115	1196
88	115	1186
89	116	1177
90	116	1168
91	117	1160
92	118	1151
93	118	1143
94	119	1135
95	119	1128
96	120	1120
97	120	1112
98	121	1105
99	122	1098
100	122	1091
101	123	1084
102	123	1077
103	124	1070
104	124	1064
105	125	1057
106	125	1051
107	126	1044
108	126	1037
109	127	1031
110	127	1024
111	128	1018
112	128	1011
113	129	1005
114	129	999
115	130	994
116	130	988
117	131	983
118	132	977
119	132	971
120	133	966
121	133	960
122	133	954
123	134	949
124	134	944
125	135	939
126	135	934
127	136	929
128	137	925
129	137	921
130	138	916
131	138	911
132	139	907
133	139	902
134	140	897
135	140	892
136	141	888
137	141	883
138	141	879
139	142	874
140	142	871
141	143	866
142	144	863
143	144	859
144	145	855
145	145	851
146	146	847
147	146	843
148	147	839
149	147	835
150	148	832
151	148	828
152	148	824
153	149	821
154	150	818
155	150	815
156	151	811
157	151	808
158	152	804
159	152	801
160	152	797
161	153	793
162	153	790
163	154	787
164	154	783
165	155	780
166	156	778
167	156	775
168	157	772
169	157	769
170	158	766
171	158	763
172	159	760
173	159	757
174	160	754
175	160	751
176	161	748
177	161	745
178	162	743
179	163	744
180	163	741
181	164	738
182	164	736
183	165	733
184	165	730
185	166	727
186	166	725
187	167	722
188	167	719
189	168	717
190	168	715
191	169	713
192	170	710
193	170	708
194	170	705
195	171	703
196	171	701
197	172	698
198	172	696
199	173	693
200	173	691
201	174	689
202	175	687
203	175	685
204	176	684
205	177	682
206	177	680
207	178	678
208	178	676
209	179	674
210	179	672
211	180	669
212	180	667
213	181	665
214	181	664
215	182	662
216	183	660
217	183	658
218	184	656
219	184	654
220	185	652
221	185	650
222	186	648
223	186	646
224	187	644
225	187	643
226	188	641
227	189	640
228	189	638
229	189	636
230	190	634
231	190	632
232	191	630
233	191	628
234	192	626
235	192	624
236	193	622
237	193	621
238	194	619
239	195	617
240	195	616
241	196	614
242	196	612
243	197	610
244	197	608
245	198	607
246	198	605
247	199	603
248	199	601
249	200	600
250	200	598
251	201	597
252	201	595
253	202	594
254	202	592
255	203	590
256	203	588
257	204	587
258	204	585
259	205	583
260	205	582
261	206	580
262	206	578
263	207	577
264	207	576
265	208	574
266	208	573
267	209	571
268	209	569
269	210	568
270	210	566
271	211	565
272	211	563
273	212	562
274	212	560
275	213	559
276	213	558
277	214	556
278	214	555
279	215	554
280	216	553
281	216	551
282	217	550
